local_code,longitude_deg,latitude_deg
#loc +airport +code +local,#geo +lon,#geo +lat
LAX,-118.407997,33.942501
ORD,-87.9048,41.9786
JFK,-73.7789,40.639801
ATL,-84.428101,33.6367
SFO,-122.375,37.61899948120117
DFW,-97.038002,32.896801
EWR,-74.168701,40.692501
LAS,-115.1520004,36.08010101
DEN,-104.672996521,39.861698150635
MCO,-81.30899810791016,28.429399490356445
LGA,-73.872597,40.777199
IAD,-77.455803,38.9445
MIA,-80.29060363769531,25.79319953918457
PHX,-112.005905,33.435302
BOS,-71.005203,42.3643
SEA,-122.308998,47.449001
PHL,-75.24109649658203,39.87189865112305
IAH,-95.34140014648438,29.984399795532227
CLT,-80.94309997558594,35.2140007019043
DTW,-83.35340118408203,42.212398529052734
DCA,-77.037697,38.8521
MSP,-93.221802,44.882
SLC,-111.979746,40.785749
MDW,-87.752403,41.785999
SAN,-117.190002441,32.7336006165
FLL,-80.152702,26.072599
BWI,-76.668297,39.1754
STL,-90.370003,38.748697
HNL,-157.924228,21.32062
PDX,-122.5979996,45.58869934
MSY,-90.25800323486328,29.99340057373047
CVG,-84.667801,39.048801
TPA,-82.533203125,27.975500106811523
BNA,-86.6781997680664,36.1245002746582
PIT,-80.23290253,40.49150085
AUS,-97.662015,30.197535
SJC,-121.929001,37.362598
OAK,-122.221001,37.721298
RDU,-78.7874984741211,35.877601623535156
MEM,-89.97669982910156,35.04240036010742
SAT,-98.469803,29.533701
MCI,-94.713898,39.2976
HOU,-95.27890015,29.64539909
SNA,-117.867996,33.675701
CLE,-81.8498001099,41.4117012024
DAL,-96.851799,32.847099
IND,-86.294403,39.7173
ABQ,-106.609001,35.040199
MKE,-87.89659881591797,42.947200775146484
CMH,-82.891899,39.998001
TUS,-110.938053,32.115004
BDL,-72.688066,41.93851
JAX,-81.68789672851562,30.49410057067871
BUF,-78.73220062,42.94049835
ANC,-149.996002,61.1744
OKC,-97.60070037841797,35.39310073852539
ELP,-106.3779984,31.80719948
SMF,-121.59100341796875,38.69540023803711
OGG,-156.429993,20.8986
PBI,-80.09559631347656,26.68320083618164
BUR,-118.356378,34.197703
OMA,-95.894096,41.3032
RNO,-119.76799774169922,39.49909973144531
PVD,-71.425668,41.725038
ORF,-76.20120239257812,36.89459991455078
LGB,-118.152,33.817699
SDF,-85.736,38.1744
CHS,-80.040497,32.898602
RIC,-77.3197021484375,37.50519943237305
BHM,-86.75350189,33.56290054
SAV,-81.20210266,32.12760162
BOI,-116.223,43.5644
ONT,-117.60099792480469,34.055999755859375
ALB,-73.80169677734375,42.74829864501953
HPN,-73.70760345458984,41.06700134277344
SYR,-76.1063003540039,43.11119842529297
OSH,-88.55699920654297,43.98440170288086
KOA,-156.045603,19.738783
GEG,-117.53399658203125,47.61989974975586
TUL,-95.88809967041016,36.19839859008789
GRR,-85.52279663,42.88079834
ICT,-97.433098,37.649899
DAY,-84.21939849853516,39.902400970458984
DSM,-93.663101,41.534
RSW,-81.75520324707031,26.53619956970215
ROC,-77.672401,43.1189
LIT,-92.223728,34.729582
MSN,-89.337502,43.1399
COS,-104.700996,38.805801
PWM,-70.309303,43.646198
MHT,-71.435699,42.932598
PSP,-116.507004,33.8297
TYS,-83.9940033,35.81100082
PNS,-87.1866,30.4734
SBA,-119.8399963,34.42620087
BTV,-73.15329742429999,44.471900939899996
TLH,-84.35030364990234,30.396499633789062
BFI,-122.302002,47.529999
LEX,-84.60590362548828,38.0364990234375
EYW,-81.759598,24.556101
MRY,-121.84300231933594,36.58700180053711
VGT,-115.194,36.210701
GSO,-79.93730163574219,36.097801208496094
TEB,-74.060798645,40.85010147089999
LBB,-101.822998,33.663601
RAP,-103.05699920654297,44.0452995300293
GSP,-82.218903,34.895699
CAK,-81.44219970703125,40.916099548339844
DAB,-81.058098,29.179899
SRQ,-82.55439758300781,27.39539909362793
FAT,-119.718002,36.776199
LIH,-159.33900451660156,21.97599983215332
BGR,-68.8281021118164,44.80739974975586
PIE,-82.68740082,27.91020012
CHA,-85.203796,35.035301
MDT,-76.7633972168,40.1935005188
SMO,-118.450996,34.0158
AMA,-101.706001,35.219398
VNY,-118.48999786377,34.209800720215
NEW,-90.028297424316,30.042400360107
